KH_ID,GioiTinh,QueQuan,NamHocThu,ChuyenNganh,NgheNghiepGiaDinh,ChiTieuHangThang,ThoiGianSuDung,MucDichSuDungLaptop,MucDoHaiLong,YeuToThuongHieuSP,YeuToCauHinh,YeuToTocDoXuLy,YeuToGia,YeuToThietKe,YeuToUyTinNhaBanle,YeuToBaoMat,YeuToBaoHanh,YeuToKhuyenMai
CTM83416,Nam,Hà Nội,Năm 3,Hệ thống thông tin quản lý,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,5,5,4,3,5,4,5,3
CTM8353,Nữ,Hồ Chí Minh,Năm 4,Thương mại,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,Học tập,4,3,4,4,4,4,4,4,4,4
CTM83544,Nam,Hồ Chí Minh,Năm 4,Quan hệ công chúng,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,5,3,2,4,4,2,3,4,4
CTM83631,Nữ,Thừa Thiên Huế,Năm 3,Thương mại,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,Học tập,4,4,3,3,4,2,4,2,4,5
CTM83662,Nam,Hà Nội,Năm 2,Kiểm toán,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,Học tập,3,2,3,4,3,2,4,3,4,4
CTM83772,Nam,Hồ Chí Minh,Năm 4,Toán kinh tế,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,5,3,4,5,5,2,4,3,5
CTM83797,Nam,Hồ Chí Minh,Năm 1,Khoa học dữ liệu,Nhân viên văn phòng,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",5,5,5,5,3,3,5,3,5,3
CTM83809,Nữ,Đắk Lắk,Năm 4,Thương mại,Công chức nhà nước,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,4,4,5,3,5,2,5,4
CTM83815,Nữ,Hà Nội,Năm 3,Ngân hàng,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,4,4,5,4,4,5,5,4
CTM83857,Nam,Hà Nội,Năm 2,Toán kinh tế,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,5,5,5,2,3,4,5,5
CTM84024,Nam,Bình Định,Năm 3,Toán kinh tế,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,2,5,5,4,1,2,4,3,4
CTM84162,Nữ,Thừa Thiên Huế,Năm 2,Thương mại,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",2,3,2,3,4,3,2,2,4,3
CTM84225,Nữ,Bình Định,Năm 1,Quản trị khách sạn,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,Chơi game,3,4,4,4,4,4,4,4,4,4
CTM84428,Nam,Đà Nẵng,Năm 3,Ngân hàng,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game",4,2,3,4,3,2,4,3,4,3
CTM84500,Nam,Đắk Nông,Năm 3,Kiểm toán,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,4,3,4,3,2,3,2,3,4
CTM84504,Nữ,Quảng Bình,Năm 3,Thương mại,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",5,2,3,4,3,3,2,3,4,5
CTM84682,Nữ,Hồ Chí Minh,Năm 4,Quản trị dịch vụ du lịch và lữ hành,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,4,4,4,4,4,4,4,4
CTM84712,Nữ,Hồ Chí Minh,Năm 2,Ngân hàng,Công chức nhà nước,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,Học tập,5,2,4,4,4,4,3,2,3,3
CTM84729,Nữ,Hồ Chí Minh,Năm 4,Quản trị Marketing,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,3,3,5,3,3,3,5,5
CTM84730,Nữ,Quảng Bình,Năm 2,Quản trị nguồn nhân lực,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",3,4,2,3,4,4,5,2,4,3
CTM84777,Nữ,Hà Tĩnh,Năm 4,Kế toán,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,Học tập,3,2,3,3,4,2,3,2,3,4
CTM848,Nữ,Thừa Thiên Huế,Năm 1,Quản trị Marketing,Nông dân,Dưới 1.500.000,Dưới 6 tháng,Học tập,1,4,4,4,5,5,4,2,2,4
CTM84891,Nữ,Bình Định,Năm 4,Quản trị Nguồn nhân lực,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,"Học tập, Làm việc",2,4,3,3,4,3,4,4,3,3
CTM84975,Nữ,Hà Nội,Năm 3,Thương mại,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",4,3,2,3,4,5,5,2,4,4
CTM85083,Nam,Thanh Hóa,Năm 4,Quản trị tài chính,Nông dân,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",3,4,3,3,4,2,4,1,3,3
CTM85104,Nữ,Quảng Trị,Năm 3,Kế toán,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",4,3,2,3,4,4,3,2,4,4
CTM85137,Nữ,Hồ Chí Minh,Năm 3,Thương mại,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",5,5,3,3,3,5,4,4,5,5
CTM85138,Nữ,Hà Nội,Năm 4,Thương mại,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,4,4,5,4,5,2,4,4
CTM85161,Nam,Bình Định,Năm 3,Quản trị Marketing,Công chức nhà nước,Trên 5.000.000,Trên 2 năm,Chơi game,5,5,5,5,5,5,5,5,5,5
CTM85207,Nữ,Hà Nội,Năm 3,Quản trị dịch vụ du lịch và lữ hành,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,3,3,3,2,4,4,4,3
CTM8522,Nam,Đắk Lắk,Năm 3,Ngoại thương,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,5,5,4,4,5,5,5,5
CTM85671,Nữ,Thừa Thiên Huế,Năm 1,Ngân hàng,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,4,4,3,3,3,4,5,5
CTM85773,Nữ,Hồ Chí Minh,Năm 3,Thương mại điện tử,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,4,4,3,3,2,2,3,3
CTM85811,Nữ,Đà Nẵng,Năm 3,Tài chính doanh nghiệp,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",5,5,5,5,5,5,5,5,5,5
CTM8595,Nam,Quảng Bình,Năm 2,Luật,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,5,3,4,4,2,5,4,5,5
CTM8603,Nữ,Thừa Thiên Huế,Năm 2,Kiểm toán,Nông dân,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",5,5,2,3,4,4,4,1,4,5
CTM86133,Nữ,Gia Lai,Năm 4,Kế toán,Công chức nhà nước,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",3,2,2,3,4,3,4,3,2,3
CTM86135,Nữ,Thanh Hóa,Năm 3,Thương mại,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,Học tập,5,3,4,5,4,4,5,5,5,3
CTM86223,Nam,Hồ Chí Minh,Năm 4,Thương mại,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,5,4,5,3,4,2,5,4
CTM86332,Nam,Hà Nội,Năm 3,Hệ thống thông tin quản lý,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Trên 2 năm,Học tập,3,3,5,5,4,2,4,2,5,5
CTM86514,Nam,Quảng Trị,Năm 2,Kiểm toán,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",4,4,3,3,3,4,4,3,4,4
CTM8663,Nam,Quảng Ngãi,Năm 3,Thương mại điện tử,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",3,4,3,4,2,3,4,3,4,4
CTM86754,Nữ,Nghệ An,Năm 2,Quản trị dịch vụ du lịch và lữ hành,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,Học tập,2,2,3,4,4,4,4,4,4,4
CTM86944,Nam,Quảng Ngãi,Năm 3,Luật kinh tế,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,2,4,4,4,3,4,4,5,5
